19-05-2025 11:25 [TEMP_CORE: 25.12 | HUMIDITY_CORE: 55.30 | TEMP_WALL: 23.80 | HUMIDITY_WALL: 60.10 | TEMP_OUT: 18.50 | HUMIDITY_OUT: 75.00 | MASS: 0]
19-05-2025 11:30 [TEMP_CORE: 25.15 | HUMIDITY_CORE: 55.25 | TEMP_WALL: 23.82 | HUMIDITY_WALL: 60.15 | TEMP_OUT: 18.55 | HUMIDITY_OUT: 74.90 | MASS: 0]
19-05-2025 11:35 [TEMP_CORE: 25.18 | HUMIDITY_CORE: 55.20 | TEMP_WALL: 23.85 | HUMIDITY_WALL: 60.20 | TEMP_OUT: 18.60 | HUMIDITY_OUT: 74.80 | MASS: 0]
19-05-2025 11:40 [TEMP_CORE: 25.20 | HUMIDITY_CORE: 55.15 | TEMP_WALL: 23.88 | HUMIDITY_WALL: 60.25 | TEMP_OUT: 18.65 | HUMIDITY_OUT: 74.70 | MASS: 0]
19-05-2025 11:45 [TEMP_CORE: 25.22 | HUMIDITY_CORE: 55.10 | TEMP_WALL: 23.90 | HUMIDITY_WALL: 60.30 | TEMP_OUT: 18.70 | HUMIDITY_OUT: 74.60 | MASS: 0]
19-05-2025 11:50 [TEMP_CORE: 25.25 | HUMIDITY_CORE: 55.05 | TEMP_WALL: 23.92 | HUMIDITY_WALL: 60.35 | TEMP_OUT: 18.75 | HUMIDITY_OUT: 74.50 | MASS: 0]
19-05-2025 11:55 [TEMP_CORE: 25.28 | HUMIDITY_CORE: 55.00 | TEMP_WALL: 23.95 | HUMIDITY_WALL: 60.40 | TEMP_OUT: 18.80 | HUMIDITY_OUT: 74.40 | MASS: 0]
19-05-2025 17:40 [TEMP_CORE: 26.50 | HUMIDITY_CORE: 53.00 | TEMP_WALL: 25.20 | HUMIDITY_WALL: 58.00 | TEMP_OUT: 20.50 | HUMIDITY_OUT: 70.00 | MASS: 0]
19-05-2025 17:45 [TEMP_CORE: 26.48 | HUMIDITY_CORE: 53.05 | TEMP_WALL: 25.18 | HUMIDITY_WALL: 58.05 | TEMP_OUT: 20.45 | HUMIDITY_OUT: 70.10 | MASS: 0]
19-05-2025 17:50 [TEMP_CORE: 26.45 | HUMIDITY_CORE: 53.10 | TEMP_WALL: 25.15 | HUMIDITY_WALL: 58.10 | TEMP_OUT: 20.40 | HUMIDITY_OUT: 70.20 | MASS: 0]
19-05-2025 17:55 [TEMP_CORE: 26.42 | HUMIDITY_CORE: 53.15 | TEMP_WALL: 25.12 | HUMIDITY_WALL: 58.15 | TEMP_OUT: 20.35 | HUMIDITY_OUT: 70.30 | MASS: 0]
20-05-2025 18:15 [TEMP_CORE: 24.00 | HUMIDITY_CORE: 58.00 | TEMP_WALL: 22.50 | HUMIDITY_WALL: 62.00 | TEMP_OUT: 17.00 | HUMIDITY_OUT: 80.00 | MASS: 0]
20-05-2025 18:20 [TEMP_CORE: 23.98 | HUMIDITY_CORE: 58.05 | TEMP_WALL: 22.48 | HUMIDITY_WALL: 62.05 | TEMP_OUT: 16.95 | HUMIDITY_OUT: 80.10 | MASS: 0]
20-05-2025 18:25 [TEMP_CORE: 23.95 | HUMIDITY_CORE: 58.10 | TEMP_WALL: 22.45 | HUMIDITY_WALL: 62.10 | TEMP_OUT: 16.90 | HUMIDITY_OUT: 80.20 | MASS: 0]
20-05-2025 21:50 [TEMP_CORE: 22.50 | HUMIDITY_CORE: 60.00 | TEMP_WALL: 21.00 | HUMIDITY_WALL: 65.00 | TEMP_OUT: 15.00 | HUMIDITY_OUT: 85.00 | MASS: 0]
20-05-2025 21:55 [TEMP_CORE: 22.48 | HUMIDITY_CORE: 60.05 | TEMP_WALL: 20.98 | HUMIDITY_WALL: 65.05 | TEMP_OUT: 14.95 | HUMIDITY_OUT: 85.10 | MASS: 0]
20-05-2025 22:00 [TEMP_CORE: 22.45 | HUMIDITY_CORE: 60.10 | TEMP_WALL: 20.95 | HUMIDITY_WALL: 65.10 | TEMP_OUT: 14.90 | HUMIDITY_OUT: 85.20 | MASS: 0]
20-05-2025 22:05 [TEMP_CORE: 22.42 | HUMIDITY_CORE: 60.15 | TEMP_WALL: 20.92 | HUMIDITY_WALL: 65.15 | TEMP_OUT: 14.85 | HUMIDITY_OUT: 85.30 | MASS: 0]
